true,pred,diff
0,0,7.684062799247162e-08
0,0,8.493406425571048e-08
0,0,1.137296163090016e-07
0,0,1.9564701731533024e-07
0,0,9.62307181137307e-08
0,0,6.043472029175018e-08
0,0,2.2233153250435323e-07
0,0,1.3911635096482523e-07
0,0,3.3083515992691083e-07
0,0,2.0801726378886863e-07
0,0,1.042374344614027e-07
0,0,2.7282228123807216e-07
0,0,3.265356831357829e-07
0,0,8.842026271013468e-08
0,0,3.5537773802604998e-06
0,0,1.0863199876915075e-07
0,0,6.471033571798662e-07
1,1,0.045509658629542434
1,1,0.049296484952989376
1,1,0.04981718222083712
1,1,0.04878317977755775
1,1,0.0497388118587481
1,1,0.0495490977609055
1,1,0.04809257416339852
1,1,0.04921815501514355
1,1,0.04939077237244359
1,1,0.049808811108942364
1,1,0.04976867967193859
1,1,0.04911200280211921
1,1,0.04444391086854693
1,1,0.04950062959189056
1,1,0.04554694622914822
1,1,0.048656438727360855
1,1,0.04599743737474207
1,1,0.04857969935005076
1,1,0.049540495643076755
1,1,0.05159671039574331
1,1,1.9134713672363595
1,1,0.04526591487347917
1,1,0.0430372753720451
1,1,0.04979113798942815
1,1,0.04828086014250712
1,1,0.048703850522422876
1,1,0.047416883691335496
1,1,0.048213616109052025
1,1,0.04824965287683407
1,1,0.04954300464184557
1,1,0.04849272433803278
1,1,0.04206123804024563
1,1,0.04562234536523604
1,1,0.09762193221966553
1,1,0.04709585084549726
1,1,0.04575697653675594
1,1,0.04896778771875241
1,1,0.045287868265141064
1,1,0.06061865214629132
1,1,11.053241252884806
1,1,0.0450042428807937
1,1,0.0493064947261478
1,1,19.557179048209782
1,1,0.04803800327049351
1,1,0.5387179946914838
1,1,0.04686434875769923
1,1,0.0498444089451072
1,1,0.0497497068941942
1,1,0.04983423042404087
1,1,0.04974495093486569
1,1,0.049191341359779275
1,1,0.044001719237685026
1,1,0.047769859663599305
1,1,0.04923865255950431
1,1,0.049566082029468946
1,1,0.0368005164760742
1,1,0.04988887310259792
1,1,0.04795918406875112
1,1,0.04880944679293696
1,1,0.04686319015875728
1,1,2.0557627743403164
1,1,0.04977581112762572
1,1,0.04976825625589551
1,1,0.04912737003185875
1,1,0.04972574999067171
1,1,1.9436729685159604
1,1,0.0498286776603901
1,1,3.267971691506415
1,1,0.04961177698861532
1,1,0.04889540414068856
1,1,0.49610659959907505
1,1,0.5808982345655787
1,1,0.04409014926025144
1,1,0.04840399736079584
1,1,0.04799048461023128
1,1,0.048331469206653724
1,1,0.04951882360680261
1,1,0.04896477377598862
1,1,0.047156112623475584
1,1,0.04918324006723194
1,1,0.04673694455072225
1,1,0.04690523934024647
1,1,0.04936193781323192
1,1,0.04831408604870637
1,1,4.8467199669926595
1,1,0.18074140868218308
1,1,0.04197322505641634
1,1,0.048054221522072525
1,1,0.048344283168748864
1,1,0.04925200457068396
1,1,12.504343643781512
1,1,0.08460449637369197
1,1,0.0500047710456338
1,1,0.04946517659153417
1,1,0.10181154920819525
1,1,0.04292020165522063
1,1,0.049313176959354575
1,1,0.04951603079233397
1,1,0.04943483502633053
1,1,202.7771727778776
2,2,0.049761297160674976
2,2,0.04952524461154351
2,2,0.5656619987531937
2,2,0.4086302505342859
2,2,0.7741007312522007
2,2,0.8196040163776901
2,2,0.04981419695245559
2,2,0.04986575680851263
2,2,0.24478844661186228
2,2,0.8267860152259694
2,2,0.42342118906537723
2,2,0.3636192757609154
2,2,0.05475963814143543
2,2,0.2697302846670794
2,2,1.0884672128736737
2,2,0.051764215680484824
2,2,0.054052772411810446
2,2,0.04959516257315908
2,2,0.04969670314777804
2,2,0.614214651257273
2,2,0.31866709005624716
2,2,0.40706636584536593
2,2,0.4523921825713448
2,2,1.3989742200008042
2,2,0.8129341189856647
2,2,0.04979968129164693
2,2,0.050941969610193184
2,2,0.04987318339713049
2,2,0.049817634859693954
2,2,0.049799209078291336
2,2,0.049832139862761034
2,2,0.04982833781827552
2,2,0.7642193123795816
2,2,881.8869943349505
2,2,0.5025665460106896
2,2,0.7535559653689042
2,2,0.40194984436410125
2,2,1.145041326325488
2,2,0.04986800032299604
2,2,0.05949768296491899
2,2,0.04864335906038976
2,2,0.27465903009067233
2,5,0.5804488248118372
2,2,0.1997813928478307
2,2,0.04971024012233182
2,2,0.8394937651250378
2,2,0.43314919131331386
2,2,0.054067163197216044
2,2,0.04970994038172371
2,2,0.049916045958225
2,2,0.4264330713241341
2,2,0.8198034984464181
2,2,0.05227285687190157
2,2,0.613360085723423
2,2,0.04977720400091434
2,2,0.2659780867850953
2,2,0.04971541878540925
2,2,0.60347657927965
2,2,4905.076443673458
2,2,0.42265339572119076
2,2,0.48853424835279
2,2,0.9371725142363106
2,2,0.6672020411486423
2,2,0.1670698938348565
2,2,0.35449903995164905
2,2,0.06296219726259218
2,2,0.2313459480239753
2,2,1.0694259090790992
2,2,0.5854973944750298
2,2,0.049579424700874244
2,2,0.04988620132694647
2,2,0.049533137642833305
2,2,0.4613167758385467
2,2,0.9528949573385838
2,2,0.8429521932642328
2,2,0.45244207897733646
2,2,0.12543854423166542
2,2,0.5967372540790633
2,2,0.04958593245603739
2,2,1689.322066309953
